July3rd_Week,July10th_Week
87.125,79.6
88.3333,68.0909
87.875,86.3
77.3636,93.25
69.4545,84.3333
70.6,71.5385
75.5,69.4167
69.6667,74.6364
70.8182,79.1667
68.5455,73.3333
69.5385,66.9167
69.0833,66
63.25,73.5556
67,69.8333
65.1667,69.0833
84.9,63.8182
80.3333,67.3333
65.9091,82.6667
78.1538,81.7778
72,68.6667
80.0833,66.3636
79.1538,71.1667
99.3333,74.9167
70.6667,83.1818
74.3333,72
71,70.5
78.6667,68.5455
134.8,68.0909
115.75,80.0909
69.7778,72.5455
70.8182,69.3636
77.75,66
80,66.0769
101.2727,72.7778
71.5,69.25
70.5455,67.5556
73.3636,66.5833
65.75,66.25
70.6364,68.3077
67.8182,72.7273
68.3333,61.6154
67.75,69.0833
67.125,64.9167
70.9,78.2727
65.9167,79.2
